# scope: final; corpus: Draugas 1909-2007; generated: 2026-07-19; lane: draugas-parish-registry-1909-2007; gazetteer config-as-truth; +county,+geo_disambiguator (additive); NOT a unified-build ingest input
parish_key,country,city,state,titular_lt,titular_en_key,city_stems,titular_stems,c83_row,cand_idx,status,founded,closed,source,notes,county,geo_disambiguator
st-casimir-east-vandergrift-pa,US,East Vandergrift,PA,Šv. Kazimiero,st. casimir,east vandergrift,kazimier,,44,standing,1924,,candidate-137,,Westmoreland,near Vandergrift
st-peter-south-boston-ma,US,South Boston,MA,Šv. Petro,st. peter,south boston,petro,,45,standing,1896,,candidate-137,,,
lithuanian-chapel-east-south-boston-boston-ma,US,Boston,MA,Lietuvių koplyčia,"lithuanian chapel, east south boston",boston,,,46,demolished,,1921,candidate-137,,,
immaculate-conception-cambridge-ma,US,Cambridge,MA,Nekaltojo Prasidėjimo,immaculate conception,cambridge,prasidejim|nekalt,,47,repurposed,1913,2004,candidate-137,,,
st-joseph-lowell-ma,US,Lowell,MA,Šv. Juozapo,st. joseph,lowell,juozap,,54,repurposed,1911,2003,candidate-137,,,
st-francis-athol-ma,US,Athol,MA,Šv. Pranciškaus,st. francis,athol,prancisk|pranciszk,,56,standing,1912,,candidate-137,,Worcester,
st-casimir-westfield-ma,US,Westfield,MA,Šv. Kazimiero,st. casimir,westfield,kazimier,,57,repurposed,1917,2003,candidate-137,,Hampden,
lithuanian-church-waterbury-ct,US,Waterbury,CT,Lietuvių bažnyčia (unnamed),lithuanian church,waterbury|vaterbur,,,59,closed,1902,,candidate-137,,New Haven,
st-anthony-ansonia-ct,US,Ansonia,CT,Šv. Antano,st. anthony,ansonia,antan,,62,closed,1915,2015,candidate-137,,New Haven,
st-paul-lithuanian-lutheran-naugatuck-ct,US,Naugatuck,CT,Šv. Pauliaus liuteronų,st. paul lithuanian lutheran,naugatuck,pauliaus,,65,standing,1907,,candidate-137,,New Haven,
st-mary-of-the-angels-brooklyn-ny,US,Brooklyn,NY,Šv. Marijos Angelų Karalienės,st. mary of the angels,brooklyn|bruklin,angelu,,72,closed,,1981,candidate-137,,Kings,New York City borough
st-george-albany-ny,US,Albany,NY,Šv. Jurgio,st. george,albany,jurgi,,76,repurposed,1917,1986,candidate-137,,Albany,
holy-cross-schenectady-ny,US,Schenectady,NY,Šv. Kryžiaus,holy cross,schenectady,kryzi,,77,repurposed,1920,,candidate-137,,Schenectady,
st-george-utica-ny,US,Utica,NY,Šv. Jurgio,st. george,utica,jurgi,,78,closed,,2007,candidate-137,,Oneida,
st-joseph-binghamton-ny,US,Binghamton,NY,Šv. Juozapo,st. joseph,binghamton,juozap,,79,repurposed,1916,2008,candidate-137,,Broome,
holy-trinity-newark-nj,US,Newark,NJ,Švč. Trejybės,holy trinity,newark|niuark,trejyb,,81,repurposed,1901,,candidate-137,,,
our-lady-of-sorrows-kearny-nj,US,Kearny,NJ,Sopulingosios Dievo Motinos,our lady of sorrows,kearny,sopuling,,82,standing,1915,,candidate-137,,,
st-ann-jersey-city-nj,US,Jersey City,NJ,Šv. Onos,st. ann,jersey city,onos,,85,demolished,1913,,candidate-137,,,
lithuanian-church-harrison-nj,US,Harrison,NJ,Lietuvių bažnyčia (unnamed),lithuanian church,harrison,,,86,repurposed,1915,,candidate-137,,,
